# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_2[1] c_2[2] c_2[3] c_2[4] c_2[5] c_2[6] c_2[7] c_2[8] c_2[9] c_2[10] c_2[11]
8000000 250
222 13.29 1.00078 177.805 1.00742 178.329 1.00214 177.018 0.97523 146.346 1.04519 159.977
223 13.35 1.00258 180.232 1.00809 180.764 1.00299 179.441 0.978102 148.714 1.04209 162.495
224 13.41 1.00417 182.684 1.0085 183.223 1.00411 181.887 0.981495 151.113 1.03865 165.028
225 13.47 1.00654 185.164 1.00838 185.704 1.00486 184.358 0.985899 153.544 1.03612 167.577
226 13.53 1.00773 187.67 1.00836 188.207 1.00594 186.853 0.989981 156.006 1.03237 170.139
227 13.59 1.00868 190.2 1.00778 190.73 1.00593 189.371 0.993068 158.498 1.0278 172.713
228 13.65 1.00987 192.755 1.00772 193.276 1.00636 191.911 0.999634 161.029 1.02299 175.297
229 13.71 1.01089 195.336 1.00723 195.843 1.00637 194.475 1.00428 163.594 1.01934 177.895
230 13.77 1.01155 197.941 1.00649 198.43 1.0066 197.061 1.00627 166.187 1.01759 180.511
231 13.83 1.01156 200.568 1.00573 201.038 1.0073 199.672 1.00857 168.808 1.01278 183.137
232 13.89 1.01245 203.221 1.00505 203.667 1.00668 202.303 1.01181 171.461 1.0115 185.783
233 13.95 1.01249 205.897 1.00356 206.315 1.00646 204.957 1.01222 174.138 1.00687 188.439
234 14.01 1.01226 208.595 1.00306 208.984 1.00651 207.634 1.01691 176.85 1.0041 191.111
235 14.07 1.01146 211.315 1.00162 211.673 1.00583 210.333 1.01659 179.585 1.0013 193.799
236 14.13 1.01066 214.055 1.00085 214.382 1.00568 213.053 1.01857 182.348 1.00131 196.509
237 14.19 1.01012 216.817 0.999829 217.112 1.00498 215.795 1.01812 185.134 1.00078 199.242
238 14.25 1.00892 219.6 0.998406 219.86 1.00471 218.56 1.01809 187.943 1.00095 201.997
239 14.31 1.00827 222.404 0.997344 222.629 1.00432 221.347 1.01785 190.775 1.00037 204.775
240 14.37 1.00683 225.227 0.996593 225.419 1.00342 224.154 1.01735 193.63 1.00304 207.583
241 14.43 1.00553 228.071 0.995501 228.23 1.00325 226.985 1.0173 196.508 1.00203 210.412
242 14.49 1.00439 230.935 0.995132 231.063 1.00265 229.838 1.01726 199.411 1.00552 213.274
243 14.55 1.0032 233.819 0.994475 233.917 1.0024 232.713 1.01625 202.334 1.00549 216.16
244 14.61 1.00182 236.723 0.993834 236.793 1.00159 235.61 1.01736 205.285 1.01148 219.087
245 14.67 1.00062 239.648 0.993499 239.692 1.00172 238.531 1.01903 208.265 1.01356 222.045
246 14.73 0.998994 242.591 0.993099 242.613 1.00121 241.475 1.02007 211.273 1.01687 225.036
247 14.79 0.998224 245.557 0.992998 245.558 1.00114 244.443 1.01986 214.304 1.01929 228.059
248 14.85 0.996887 248.542 0.992862 248.527 1.00097 247.434 1.02068 217.363 1.02075 231.111
249 14.91 0.996205 251.55 0.992824 251.519 1.00059 250.448 1.02235 220.451 1.02243 234.192
250 14.97 0.995569 254.58 0.993148 254.537 1.00021 253.485 1.02538 223.573 1.02657 237.312
